"Timestamp","Give you confidence levels of the following statements below: [I can tell what Mermaid is]","Give you confidence levels of the following statements below: [I can tell when to use Mermaid]","Give you confidence levels of the following statements below: [I can create a mindmap in the Mermaid live editor]","Give you confidence levels of the following statements below: [I can create a flowchart in the Mermaid live editor]","Give you confidence levels of the following statements below: [I can publish a Mermaid diagram on GitHub]","Any other feedback?"
"2025/04/10 10:23:24 am EET","5","4","4","4","4",""
"2025/04/10 10:23:27 am EET","5","5","5","4","4",""
"2025/04/10 10:23:44 am EET","5","5","5","5","5",""
"2025/04/10 10:23:49 am EET","3","3","3","3","3",""
"2025/04/10 10:24:00 am EET","5","4","5","5","5","Nice course, great energy :)"
"2025/04/10 10:24:04 am EET","5","5","5","5","5",""
"2025/04/10 10:24:52 am EET","5","3","4","4","4","is nice to do exercises together, they were well planned and organised. much better than a boring ppt"
"2025/04/10 10:24:55 am EET","5","5","5","5","4","I have enjoyed this course. I have learned to use different softwares and improved in my visual presentations. I would recommend this course to other PhD students."
"2025/04/10 10:24:56 am EET","5","3","5","5","4","Great way to learn about this tool! I think it could maybe be improved by making it more relevant to our own research."
"2025/04/10 10:25:13 am EET","4","4","4","4","3",""
"2025/04/10 10:25:22 am EET","4","5","5","","5","It is a really useful course, and interactive."
"2025/04/10 10:25:40 am EET","5","4","3","3","5","Great session! it was very dynamic and hands on. The instructor's teaching style is also very nice. "
"2025/04/10 10:25:58 am EET","4","3","4","4","3",""
"2025/04/10 10:26:20 am EET","5","5","5","5","5","Interactive session. Like it!"
"2025/04/10 10:27:01 am EET","5","5","5","5","4","Nice and clear structure. Enough time for most exercises. I like the small break-out rooms. No need to explicitly suggest how to interact in the break out rooms. I understand the wish for people to turn on camera but would prefer it to be voluntary still.  "
