Timestamp,Give you confidence levels of the following statements below: [ I can tell what Mermaid is],Give you confidence levels of the following statements below: [I can tell when to use Mermaid],Give you confidence levels of the following statements below: [I can create a mindmap in the Mermaid live editor],Give you confidence levels of the following statements below: [I can create a flowchart in the Mermaid live editor],Give you confidence levels of the following statements below: [I can publish a Mermaid diagram on GitHub],Any other feedback?
02/10/2025 10:48:46,5,5,5,5,5,
02/10/2025 10:48:59,5,5,4,4,4,
02/10/2025 10:49:05,5,5,5,5,4,
02/10/2025 10:49:09,4,4,4,4,3,- 
02/10/2025 10:49:10,4,4,4,4,4,
02/10/2025 10:49:12,4,5,5,5,4,
02/10/2025 10:49:24,5,5,5,5,4,
02/10/2025 10:49:31,5,4,4,3,4,Thanks for being so upbeat and friendly:)
02/10/2025 10:49:51,5,5,5,5,5,
02/10/2025 10:50:02,5,5,5,4,5,
02/10/2025 10:50:28,4,4,4,4,3,It is great to have to opportunity for some practice and to play around with the tool.
02/10/2025 10:50:50,5,4,5,5,5,
02/10/2025 10:51:21,5,5,5,5,5,"Very active session, it was good to learn in pairs to figure stuff out. I almost had an issue with publishing, as the instruction code line included [ ] around the code but your demo helped solve this issue. Also first time for me to create a repository on GitHub, I now understand that better too. Thanks for the session!"
02/10/2025 10:51:59,5,5,4,4,3,I struggled to change the layout of both the mind map and flow chart to align it with my thoughts/ story. 
